1000	2
1.792838	-1.705299	6.188193
-1.805624	0.117516	1.289072
1.352085	-1.584986	4.070428
0.593335	-1.490639	2.035243
-1.583349	1.910578	6.962283
0.021212	0.397944	2.510200
-0.799969	0.102793	1.557604
-0.785748	0.308795	1.817562
0.679664	-0.986861	2.345960
-0.516490	-1.372145	0.850174
-0.642490	0.839600	2.841421
0.414615	-0.825832	1.951658
1.856033	0.104238	7.508171
1.557423	0.937567	7.300336
1.186576	1.141956	6.408734
0.305057	0.976346	4.011440
-1.334022	-0.797282	0.713968
0.069202	-1.310761	1.341267
1.287077	-1.366580	3.877160
0.129693	-1.984527	1.275925
0.876768	1.924091	9.252037
-0.453324	-0.933229	1.028794
-0.020656	-0.620678	1.517135
-0.051062	-0.697946	1.447826
0.442022	0.489012	3.186554
-1.679206	0.705289	2.210953
-1.932502	1.383779	4.134736
0.452736	-0.717340	2.060658
0.356481	1.588755	6.325944
0.384520	-1.661045	1.658849
1.224638	-0.495355	4.012289
-0.541503	-1.678777	0.768475
0.815972	1.203062	5.591670
0.812461	-0.238482	3.041270
1.890196	1.296359	10.276627
-0.867225	1.969937	7.590343
0.106338	1.549042	5.819159
1.914274	-0.395792	7.455163
-1.619103	0.662544	2.137797
-1.851772	1.577250	4.998580
-1.431368	1.063810	3.136371
0.943902	0.992601	5.268233
0.634804	-1.936882	2.030806
0.584464	-1.269444	2.075017
1.975739	0.785906	9.406339
0.544255	-1.061376	2.069304
-0.306034	-1.294256	1.010463
-0.153497	-0.374604	1.545265
1.383708	-1.736468	4.165811
-0.154297	1.929652	7.744133
-0.594876	-0.036600	1.515693
0.163980	0.112814	2.297615
0.734243	-1.236782	2.374221
1.830737	-0.091155	7.151361
1.210378	-1.584146	3.559875
-1.142129	1.397460	4.364050
1.803017	1.189589	9.353659
1.950354	-0.967910	7.411051
0.498852	-0.171624	2.489126
-1.226393	1.709001	5.816791
0.802007	-0.518336	2.825524
0.108461	1.902072	7.814324
0.652009	1.406141	5.999570
-1.646376	-1.371655	0.446434
0.710554	-0.616814	2.574780
0.369394	1.146431	4.593800
1.426347	-0.802355	4.611736
0.629959	0.173280	3.066731
1.615880	1.850986	11.398409
0.468266	1.947748	8.610098
1.116060	0.861712	5.420011
-0.159881	0.224308	2.103701
-0.958270	-1.781359	0.551965
1.404094	-0.480468	4.690332
-0.239932	1.524590	5.379944
-1.345628	-1.781685	0.428730
0.205352	-1.752269	1.401338
-0.232135	-1.365122	1.048188
1.352093	-1.386232	4.115525
1.448184	1.741192	9.959519
-1.211015	0.361266	1.733040
1.806402	0.081209	7.173097
0.388969	0.221741	2.723707
0.092495	-1.094963	1.431460
1.240866	0.041486	4.500967
-1.085932	-1.208768	0.636152
-1.314128	0.161976	1.444540
-0.787928	0.535565	2.163200
-1.228506	-0.033240	1.260036
1.363561	-0.162924	4.759747
-1.452517	1.515427	4.785344
0.011976	1.741101	6.715664
0.726530	-1.395589	2.315579
-1.037983	-0.251101	1.132113
0.402561	0.004565	2.500225
-0.356221	-1.265033	0.982548
0.299958	-0.684505	1.854142
-0.060065	0.031088	1.973280
-0.136590	-1.280882	1.150120
0.080038	0.356511	2.511666
-1.712718	0.011672	1.192116
-1.259034	-0.847770	0.712297
-1.142647	0.346614	1.733244
0.994073	-1.053542	3.050919
0.339190	-1.043955	1.755870
-0.710541	1.730980	6.137565
-1.849868	-0.142185	1.024719
0.588202	-1.206913	2.099867
-0.362235	1.036460	3.515338
-0.248380	1.101018	3.787289
-0.741960	-1.595615	0.678964
0.436845	1.847147	7.889517
0.841000	-0.594179	2.870700
1.253520	0.479776	5.118362
-0.750847	-0.402108	1.140875
1.110353	-1.868917	3.189720
-0.734020	0.024374	1.504648
-1.935914	-0.833071	0.579004
1.116567	-0.861117	3.477039
0.097888	-0.690089	1.604371
-1.816510	1.619019	5.210728
0.421696	1.347476	5.372246
1.361025	-1.322996	4.166526
1.795046	-1.497777	6.243379
0.480601	-1.186461	1.922345
0.399444	0.300864	2.842021
-1.239580	0.647283	2.199850
-1.032349	-0.792906	0.808697
1.776500	1.933973	12.826075
1.817646	-1.901934	6.306626
1.378221	1.996393	11.330292
-0.170481	-1.831352	1.003456
1.469106	-1.449511	4.580032
1.755016	0.148136	6.943209
-1.888722	-0.701309	0.647201
-0.581165	-0.751668	1.030825
0.903235	0.429148	4.003521
0.680542	-1.469209	2.205056
1.089783	-0.937979	3.365048
-1.913893	1.759392	5.956408
-0.224278	1.317789	4.534248
0.595410	0.426138	3.345106
-0.296691	1.617814	5.785327
-0.709357	0.266191	1.796945
-1.855463	0.120501	1.284442
-0.879587	-1.229437	0.707412
-0.762719	1.480257	4.860471
-0.192376	-0.746836	1.298860
-0.542342	0.444242	2.140692
-1.740284	-1.667706	0.364150
0.650330	0.009084	2.925299
1.314380	1.876427	10.252572
-0.020263	-1.943106	1.123199
-0.564197	-1.222878	0.863199
0.988684	1.604690	7.664011
1.835056	-0.989213	6.637352
-0.003391	1.917192	7.798450
0.240067	0.524559	2.961049
-0.816391	1.674762	5.779551
-1.003608	0.253076	1.654535
0.774480	-1.166497	2.480920
-1.169148	1.849729	6.668730
1.430160	1.266618	7.728199
-0.889048	-1.456076	0.644196
1.442890	0.722674	6.292848
0.159174	-0.907171	1.576206
0.853678	0.067113	3.417684
0.701317	0.452664	3.588901
1.088560	0.682981	4.949765
0.088644	-1.979714	1.230801
1.100687	-0.988610	3.378325
-0.036270	-1.207130	1.263434
-0.631330	-0.635503	1.061553
0.611565	-0.801995	2.291747
-0.456173	0.977254	3.290853
1.461619	-1.065156	4.657609
-1.059785	-0.836355	0.779817
-1.080518	1.905546	7.062497
1.794528	1.936436	12.950632
1.093061	-0.724289	3.468061
0.438354	0.980807	4.216760
-0.842626	-1.806163	0.594861
-1.080904	0.606544	2.173371
1.433857	1.559509	8.951332
0.202120	1.151281	4.386234
0.882673	1.851922	8.789406
-1.089968	1.013316	3.090948
-0.510665	0.317764	1.974147
1.406568	1.859716	10.503838
-0.844385	-1.325480	0.695497
1.662454	-0.983839	5.646104
1.582484	-1.716622	5.046704
0.703849	1.505515	6.527994
-1.903498	1.095097	3.138519
1.039942	-0.936256	3.221145
1.148361	-0.417296	3.811846
1.454323	-1.746562	4.455957
1.684535	0.373869	6.843290
-0.067522	-0.375755	1.621478
0.151613	-0.375936	1.850356
0.242557	-0.217225	2.079252
-0.399340	-0.777698	1.130225
-0.338404	-1.393826	0.961031
-0.671556	-1.768930	0.681428
-0.222185	-1.454906	1.034189
-0.799964	-1.979078	0.587542
-1.879829	-0.370209	0.843206
-0.416729	0.411537	2.168334
-1.787302	1.595694	5.099164
-1.357758	-0.306669	0.993131
-0.051731	0.149341	2.110653
-0.855296	-1.659075	0.615472
1.366100	-0.141102	4.788434
-0.454538	1.111686	3.674219
-1.675604	-1.344139	0.447959
-0.345342	0.662110	2.646858
1.934623	-0.480246	7.540069
0.807346	-0.003500	3.238457
-0.136834	-1.460151	1.104316
0.591634	-0.651904	2.327991
1.163166	-0.609655	3.743586
-0.001524	-1.745508	1.173034
0.548182	-1.821968	1.891812
0.207626	-1.441089	1.467422
-1.014013	-0.104396	1.263629
-0.324195	-0.286933	1.473671
1.053089	1.454034	7.146838
0.400460	1.296215	5.147944
0.921551	-1.148803	2.830202
-0.658998	1.708452	6.037777
-0.547248	-0.897948	0.985945
-1.053214	-1.558385	0.559291
-0.470743	-1.991062	0.761088
0.091625	-0.851516	1.522722
-1.244890	1.946813	7.294298
-0.143799	0.211687	2.101823
0.482836	0.534277	3.326878
0.486486	1.620398	6.681690
-0.552796	-0.081051	1.497485
-1.989069	-1.469091	0.366957
0.734898	1.305505	5.774821
1.941404	-0.862081	7.390813
-0.676415	1.534722	5.148472
0.934826	-1.014643	2.909302
1.986865	-0.013453	8.279273
-0.120631	0.707711	2.915702
0.787199	-1.518586	2.416254
-1.090944	0.685948	2.321552
1.639308	1.316696	8.882679
-0.490802	-0.073865	1.540932
-1.218228	-0.130612	1.173312
-1.546047	0.406618	1.714819
0.480899	-0.682161	2.123052
1.514086	1.802576	10.610519
-0.510215	0.487387	2.228423
0.564591	-0.292542	2.505092
-0.414420	1.236576	4.104526
1.739644	-1.230359	5.987503
1.219857	1.632383	8.502756
1.082676	-0.488394	3.566180
-0.849076	-0.607946	0.972278
0.410277	1.537826	6.161695
1.292259	-0.580663	4.200531
1.969112	-1.289633	7.439687
-0.176780	-1.686071	1.023210
-1.820575	-0.452862	0.797739
1.362029	-0.346131	4.611527
-1.791560	-0.764509	0.632262
-0.783147	0.461436	2.043316
0.959438	-0.223093	3.410270
-0.755796	-1.555597	0.680700
-0.905998	-1.839464	0.563041
-0.162655	1.134110	3.958290
-1.119633	1.442983	4.559707
-1.356697	1.297832	3.918860
1.955301	0.280371	8.389667
0.709831	-0.772439	2.495534
-0.815777	-0.760633	0.909666
1.427972	0.701642	6.187296
0.028591	1.180739	4.285784
1.967906	-0.230430	7.949867
1.232532	0.567378	5.193540
-1.459891	0.636274	2.121690
-0.191509	-1.425833	1.066020
0.013872	1.169071	4.232971
0.465641	-0.155581	2.448954
-0.033921	1.258060	4.485234
1.435926	1.002946	6.929838
-0.925392	1.714170	5.948443
0.250073	1.894609	7.934065
1.951844	0.406622	8.543395
1.704094	-1.580672	5.702243
-0.188568	1.272082	4.396418
-1.798628	-1.264686	0.447854
0.994859	-1.394511	2.952296
0.427649	-1.170227	1.843945
0.739422	1.490975	6.536150
1.515462	0.127080	5.687033
-0.499683	-0.438982	1.251416
-1.856632	-0.971905	0.534559
1.698000	-1.776688	5.632209
-0.069016	0.501530	2.584557
1.907468	-0.391600	7.411983
-0.930736	1.273706	3.968336
0.672673	-0.841561	2.390506
-1.917991	-1.175397	0.455598
-0.949324	0.706127	2.413132
0.401032	-1.274676	1.772887
-0.160360	1.646815	6.042259
-0.743183	-1.883214	0.627698
-1.076640	-1.110179	0.670239
-0.293713	0.512676	2.415245
1.163579	0.218375	4.445424
1.567332	1.281723	8.396685
0.927719	1.916595	9.326504
-0.807007	0.305234	1.803134
1.575793	1.496898	9.302382
-0.701329	-0.703518	0.990767
0.919430	-0.136184	3.380543
1.261614	0.454475	5.106462
0.361646	1.252488	4.934728
0.008489	-1.992713	1.144850
0.501447	0.558617	3.399361
-1.722095	0.543623	1.900927
-0.375714	1.833337	6.941525
-0.767673	-0.403619	1.131991
1.110496	-0.926602	3.431759
0.543435	1.955478	8.789208
0.949965	1.514503	7.132779
1.574357	1.110792	7.864401
1.660483	-1.483864	5.488610
1.424578	0.238978	5.426053
-1.299082	1.127721	3.361392
0.153929	-1.304920	1.437602
1.046586	-1.213208	3.145153
-1.597893	-1.468020	0.432703
-1.224647	1.812209	6.417821
-0.103482	-0.639129	1.429443
1.165848	0.651283	5.126643
-1.589573	1.030952	3.007746
-0.684401	0.486687	2.131310
-0.259103	-1.374536	1.024700
1.935074	0.584589	8.718807
1.135319	1.836626	9.387498
-1.686532	-0.601767	0.733003
0.421468	-0.552447	2.099738
1.036542	-1.622885	3.016779
1.603274	1.025735	7.758420
1.978883	1.616673	12.270959
0.801464	0.803873	4.462979
-1.203289	0.409971	1.806979
0.779832	-0.764394	2.646722
-0.180952	1.840615	7.134885
1.564754	-0.077804	5.706642
-0.934381	-1.569299	0.601020
0.452220	-0.050191	2.522846
