1000	2
-0.272250	-1.628426	0.201569
-0.244225	1.877772	-0.616840
-1.372383	0.923728	-0.226944
0.987415	-1.804574	0.719964
0.895488	-0.987597	1.608411
1.683050	0.981424	1.814725
0.625981	1.828925	0.383917
1.694143	0.780492	1.564587
-1.099200	1.851820	-1.174540
-1.346799	1.271415	0.023939
-1.707803	-0.072223	-0.985413
-1.842603	-1.342533	0.010013
-1.115792	1.672136	-0.559541
0.236911	-0.751098	0.769398
1.129454	-0.692062	1.365027
1.604102	-0.701501	1.471926
1.125544	1.170395	1.882375
1.574219	-0.526063	1.273217
-1.119836	-1.701551	-0.656195
-1.197854	-0.931294	-0.168669
1.487625	0.129215	1.013239
1.930214	0.313510	1.034232
1.961963	-1.194309	1.914054
-0.715093	1.164583	0.321386
0.547942	1.274022	1.519563
-1.483956	-1.587963	-0.415224
-0.757174	0.789378	-0.103300
-0.381394	1.845121	-0.632077
-0.024589	-1.086209	0.899962
-1.856535	-1.411914	-0.047471
-1.476006	0.807457	-0.388744
-1.917128	0.042530	-0.938816
-1.482586	1.870871	-1.347045
-1.036700	1.389477	0.075221
0.056547	-1.168749	1.035614
-1.176768	-1.011904	-0.069202
0.468954	0.613458	0.819464
-0.145619	1.806580	-0.266940
1.929756	0.112917	0.949013
0.241306	0.164991	0.266190
-0.243797	1.610611	0.279186
0.328763	0.956885	1.115818
1.148349	0.777348	1.480250
-1.473976	0.557796	-0.689176
0.763742	-1.187822	1.678876
0.003896	0.227407	0.055587
-1.739457	-0.374278	-0.846184
-0.398266	-0.104953	-0.376806
-0.986539	-0.265999	-0.763426
-1.730218	0.304419	-0.894781
-1.667661	0.462934	-0.782641
-0.566309	1.414309	0.372664
-1.101340	-0.762067	-0.343166
0.481849	-0.451530	0.665889
1.942288	0.144835	0.952762
-0.003852	1.926414	-0.543046
1.318971	1.798791	0.874541
-0.273311	-0.664052	0.156891
-1.111397	-1.760425	-0.853836
1.475688	1.137096	1.957139
-0.209004	1.704533	0.026484
-0.520848	-1.565778	0.138870
-1.184250	-1.819246	-1.093488
-1.823204	-0.204714	-0.926418
1.799871	-1.343642	1.946489
0.373568	-1.355983	1.329270
1.462379	1.536509	1.697929
-0.320904	-1.022620	0.549877
-1.029093	-1.390093	0.078514
-0.170403	0.630636	0.217721
1.377587	1.986657	0.260416
0.858412	1.178716	1.740393
0.436140	1.981062	-0.282974
-1.258801	1.060805	-0.049323
1.087755	-1.050726	1.778613
-1.008168	1.763817	-0.815317
-1.904918	-0.905023	-0.214191
1.922390	0.177477	0.970318
-0.471387	-1.535097	0.252753
0.598616	-0.482985	0.794664
1.992483	-1.343640	1.885014
-1.490046	1.211873	-0.001955
0.547216	-1.044789	1.407671
-0.464337	-1.699395	-0.196892
1.964513	-0.036753	0.924841
0.817240	0.958094	1.523615
0.932215	-0.742026	1.326143
0.362718	-1.327803	1.336391
-1.146167	-0.849613	-0.250422
-0.850194	1.888791	-1.164583
0.804937	-0.428354	0.903246
-0.373066	-0.802155	0.235490
1.547354	1.042003	1.884388
-1.004353	1.370906	0.108948
1.596940	1.567017	1.633144
0.067279	1.977553	-0.628278
-0.141638	-0.191064	-0.104668
1.082172	-1.234205	1.881850
1.740720	-0.908275	1.720121
-1.687555	-0.814509	-0.377372
-0.820082	-0.251262	-0.668112
1.832574	1.590770	1.539653
1.336978	-0.714954	1.461978
-1.570093	-0.294298	-0.913496
0.722661	0.079344	0.667679
-1.310341	1.275456	0.032160
-0.241119	1.298215	0.754655
0.693234	1.399910	1.564335
0.379709	-1.848492	0.098787
0.206544	1.712975	0.410907
0.983708	0.462943	1.045236
0.721068	-0.814919	1.276532
0.870610	-0.334985	0.876702
-1.073245	1.835491	-1.104232
-1.506974	-1.916344	-1.504171
1.547804	-1.523340	1.731581
-1.503960	-0.092325	-0.989243
-1.583889	0.105440	-0.988797
-1.779626	0.444072	-0.782350
-1.348169	0.655555	-0.558674
1.856741	1.044144	1.846132
-0.081405	0.156227	-0.056911
-1.542378	-0.633992	-0.608386
0.220213	-1.938318	-0.358916
0.043087	-1.140563	1.006868
1.881931	-0.077719	0.958027
1.571104	-1.854129	0.708111
-1.273349	-1.107756	-0.014564
-0.739494	0.106002	-0.662678
-0.814213	1.349616	0.241562
-0.464803	1.849743	-0.724560
-1.258272	-1.256982	0.048397
-0.061842	-1.430496	0.827251
1.208783	-1.355256	1.900036
0.348741	-1.213899	1.336990
0.599370	1.197279	1.554709
-1.496693	-0.055885	-0.994133
0.469298	-0.084556	0.459410
0.560913	-1.398424	1.458836
-0.491202	0.327778	-0.364454
0.311624	-1.581907	0.903129
-0.489233	1.674151	-0.137583
0.578097	0.769297	1.104302
-1.144413	-0.878777	-0.212719
-1.592870	0.304455	-0.907196
0.063098	1.441439	0.937285
0.942873	1.818603	0.644284
-0.068997	0.516423	0.194600
0.190150	-1.814532	0.038647
-0.226728	0.284033	-0.144203
-0.330896	1.040170	0.557987
-1.131521	-1.122858	0.047277
0.077765	1.470099	0.908409
0.904724	1.605681	1.320303
0.682988	1.968267	-0.037605
1.013958	1.304882	1.840241
1.463588	1.561299	1.641484
1.845400	1.749901	1.041890
1.287085	1.354007	1.925758
-0.478156	0.921386	0.290445
0.591391	0.368905	0.693188
1.802972	1.751061	1.048476
-0.262344	1.006809	0.589430
1.126215	-1.662761	1.270754
-1.948617	1.886802	-1.335796
-1.383519	1.730523	-0.836158
0.875805	-1.491591	1.561688
1.714974	-1.792011	0.919972
1.669196	-1.893821	0.564734
0.461939	-0.555418	0.749304
0.186239	-1.158160	1.158953
-0.315239	-1.091536	0.618864
-1.520705	1.972249	-1.679048
0.630090	-1.576200	1.200110
1.128088	0.989167	1.733229
-0.932375	-0.206642	-0.760350
-0.610795	-0.424897	-0.393960
1.090494	0.301316	0.977522
0.193026	1.607940	0.719727
1.472979	-0.837166	1.640085
1.224451	-1.822389	0.762072
0.022693	1.030380	0.895868
1.913791	-0.438694	1.133018
0.925759	-1.443797	1.669983
-1.075774	-0.964620	-0.078045
-0.343659	0.252439	-0.273252
-0.004427	1.737107	0.119309
-1.011930	-0.371212	-0.710494
0.625658	-0.714645	1.074434
-0.469431	1.050917	0.440828
0.211992	0.414434	0.381320
-0.895228	-0.410598	-0.612558
0.536825	-0.890051	1.223305
1.394840	-1.798967	0.890010
1.570420	1.899391	0.550601
-0.002033	-1.780876	-0.031955
-0.893197	-0.857281	-0.108544
-1.725217	-0.621327	-0.611572
-0.259900	-1.467317	0.578259
0.946995	0.293355	0.897615
0.363886	1.424651	1.252478
1.166407	0.817602	1.539132
0.048556	1.809413	-0.083459
-1.405738	-0.420743	-0.810307
-1.754164	0.670851	-0.548233
-0.709212	0.768785	-0.094019
1.513565	0.924450	1.752676
0.595253	-1.136105	1.521757
0.814637	1.631819	1.188154
0.142924	0.639271	0.539825
-0.360614	1.832551	-0.567808
1.186160	1.375670	1.875643
0.238299	0.330065	0.344777
-0.749120	-1.654131	-0.286567
0.822369	-0.047369	0.735004
-0.916652	-1.509115	-0.033017
0.472741	0.628877	0.840586
-1.288406	0.929202	-0.200325
1.025371	-0.055288	0.857964
-0.435318	1.997185	-1.171099
1.058489	-1.844079	0.615468
-0.200221	1.566249	0.436459
-0.739281	1.416082	0.233328
-1.151242	1.710374	-0.698738
