1000	2
-0.065173	0.231158	-0.204146
1.069730	1.462782	-0.307558
-1.360757	-0.870727	7.198117
1.365683	-0.281955	1.253145
0.687752	-1.491897	2.503199
-1.368961	1.413994	5.663283
1.578784	-0.635135	3.114468
-1.220647	0.275404	3.801291
-0.485338	-1.286676	2.284251
0.416910	0.517256	-0.425733
1.849492	1.564158	5.033378
-1.080665	0.506485	2.247665
0.630946	-0.339198	0.304029
1.296093	-1.377942	2.971972
0.971319	1.731082	-0.259043
-1.289350	-0.194952	5.121053
-0.525351	0.138961	0.091860
-1.358240	-1.789336	9.299242
-1.048208	-0.960353	3.780432
-0.668807	0.064566	0.436756
-1.519958	-1.356658	11.125790
1.169962	-1.009063	1.790355
-1.008834	1.240356	1.591430
1.742855	0.868518	3.441317
-1.296556	-1.955522	8.873100
0.763326	-0.702613	0.844182
0.877428	1.715385	-0.326911
0.250175	-0.514406	0.634972
1.998415	-1.683502	11.068928
-1.900348	0.756118	19.434147
0.255116	-0.491362	0.599712
1.889175	0.229054	5.792387
1.444599	0.360736	1.044658
0.295768	-0.154958	0.148743
-1.481879	1.388637	7.651947
-1.265782	-0.534971	5.273168
0.025557	0.124095	-0.116411
1.856146	1.601373	5.155820
-1.030545	0.312844	1.958443
-1.088146	-0.905842	4.006556
0.733953	-1.087262	1.573143
-0.095343	0.697695	-0.453357
-0.040363	1.279436	-0.460889
0.269603	0.919412	-0.511066
0.966086	-1.162358	1.807317
0.594145	0.262486	-0.313160
-1.948102	-1.285810	23.908493
1.328624	1.584640	0.441638
0.274775	0.770371	-0.488681
0.584012	1.493952	-0.460866
1.187504	0.911170	-0.182064
-1.117294	0.532052	2.562623
-1.641730	-0.901095	12.996509
0.591215	0.862539	-0.575028
0.652376	-1.909768	3.636859
-0.778605	-0.064609	0.906215
-1.479508	1.027656	7.530425
-1.429605	1.340474	6.656739
-0.645834	0.203706	0.260393
-0.385702	1.461339	-0.314072
1.320261	0.614730	0.311244
1.379449	-1.808890	4.440956
-0.783144	-1.960595	4.739032
-1.364959	-0.610119	6.810513
-0.286122	-0.723138	1.014727
-1.253043	0.788372	3.955089
-0.547637	-0.776011	1.331292
0.254570	1.107841	-0.506483
-1.377528	1.786983	6.024464
0.458439	0.329412	-0.327334
1.665831	-0.933106	4.446363
-0.539923	-0.789584	1.343684
-1.783242	1.070450	15.285215
-1.023151	0.325079	1.894702
1.827670	0.639258	4.618083
-1.771099	-1.671862	18.464449
-0.405152	0.298137	-0.160245
0.140954	-1.995443	3.983932
0.008567	1.953091	-0.045809
1.310717	1.981518	0.681358
0.760562	0.702206	-0.561000
0.325128	-1.610358	2.883791
-1.397094	-1.656672	9.565701
-0.067761	-1.966703	3.900995
1.526398	0.932964	1.374299
-0.140675	0.181911	-0.162190
-1.256473	1.046254	3.977066
-1.739094	-1.027967	15.963396
-0.803690	-1.990477	4.907802
-1.287454	0.449222	4.533119
1.328161	-0.158627	0.940053
