1000	2
-1.074103	-0.193398	-1.218252
1.702914	0.567037	13.862726
-1.161429	-1.714935	-3.252619
0.048430	1.237278	-1.643611
1.762374	0.908700	16.164890
-0.661678	-0.009283	-0.117507
0.836178	1.458255	-2.247236
-0.103418	0.276086	-0.240891
1.170946	0.561766	1.747558
0.652105	1.960048	-7.300898
-0.879694	-1.079974	0.456153
-1.381978	-0.207081	-4.813271
-1.826777	-1.933532	-23.529171
1.949757	-1.098409	29.151323
-0.074075	1.807498	-5.510783
-0.632531	-0.316861	0.260768
1.960666	-0.486488	29.551456
-0.181111	0.842630	-0.739881
-0.010645	1.252146	-1.697320
-1.602957	-1.367570	-10.029251
-0.696618	-0.765708	0.722934
1.384139	-0.428652	5.584043
1.232147	0.755016	2.207487
-0.446306	-1.730027	-1.270190
-1.963374	-0.377122	-28.737162
-1.649444	1.127930	-13.510310
1.284572	-1.745199	2.127636
0.562559	-0.017083	0.073572
1.661270	-0.713792	13.491955
1.028583	-0.559561	1.818416
-0.851852	0.540792	-0.885890
0.048435	-1.977064	-3.707829
-0.324078	1.098884	-1.227770
1.181648	-1.862921	-0.120154
-0.458310	-1.776064	-1.642089
0.880826	0.967144	-0.406703
-1.471529	1.474280	-9.649494
-1.514730	1.516832	-10.987238
-0.699047	1.968368	-7.703824
0.783749	-0.190320	0.503498
-0.183023	1.576362	-3.421515
-1.976542	1.603852	-33.793015
-1.893582	-0.076565	-24.266132
1.205257	1.564588	-0.793512
1.195997	0.904255	1.617381
0.544728	-1.750979	-1.368048
-1.565766	0.887297	-10.214537
-1.900042	0.196270	-24.941450
-0.187762	1.498820	-2.899117
-1.490185	0.626122	-7.855490
-1.562571	1.668213	-13.464453
-0.562049	0.419944	-0.403406
-0.433469	1.056572	-1.136816
-0.969032	1.654063	-4.883201
1.936031	-0.385658	27.648525
1.429236	0.496629	5.560038
0.611794	0.900443	-0.738032
0.510939	-1.364320	0.597480
-0.798387	1.514037	-3.319613
1.988877	0.830107	30.397007
1.279974	1.128079	2.134118
1.498431	-1.598422	7.166121
-1.884551	-1.934930	-26.972252
-1.216592	-1.087324	-1.685592
-0.980575	-1.757915	-2.378392
-1.458930	1.397141	-8.935862
-1.535880	-1.585148	-8.861791
-0.979601	0.677183	-1.455123
-0.616253	1.808457	-5.610216
0.596755	-1.283088	0.826749
1.216145	-0.733507	3.518063
-0.725274	-1.834942	-2.350622
-0.549657	0.052213	-0.101026
-1.149662	1.416329	-4.433735
-0.522871	1.161340	-1.435576
1.070680	-1.782149	-0.266473
-1.297702	1.487187	-6.507421
-1.955899	0.694807	-29.194092
-1.782696	0.474725	-18.392162
-0.095158	1.646982	-3.969679
-1.624930	-1.144848	-10.387278
0.519296	0.991741	-0.945889
0.734687	-0.233053	0.472784
-1.430506	-0.839093	-5.047029
0.080957	1.763550	-5.044883
0.036772	0.902894	-0.827575
1.571078	1.281199	7.764003
1.633747	0.919045	10.785776
0.185191	-0.957222	0.995798
0.736742	-1.655622	-0.513547
1.201897	1.856218	-3.561278
1.580836	-1.373905	10.408813
-1.827886	1.042071	-21.494129
1.732513	-1.923068	12.543110
-0.372003	-1.930875	-3.162143
0.765932	-1.303827	0.972473
0.762044	-0.742749	1.123395
-1.218870	0.925606	-3.554452
-0.343095	1.565344	-3.346937
-0.032838	0.382401	-0.319977
0.396273	1.258418	-1.710758
-1.055414	-1.496981	-1.203004
1.192557	0.399858	2.079402
-1.229413	0.776841	-3.465787
1.661440	1.856103	6.591737
